SEMANTICS;P_PARTIAL;NOISE;RATIO_CONFIG;NFILES_POS;N_RUNS;MEAN_MCC_FULL;MEAN_MCC_HARD;MEAN_DELTA
PRF;0.5;0.2;1;30;5;0.6832;0.6390;-0.0442
PRF;0.5;0.2;1;40;5;0.7659;0.7884;+0.0225
PRF;0.5;0.2;1;60;1;0.9802;0.9802;+0.0000
PRF;0.5;0.2;40pos;16;5;0.6801;0.6661;-0.0140
PRF;0.5;0.2;40pos;24;5;0.9841;0.9724;-0.0117
PRF;0.5;0.2;40pos;32;5;0.8108;0.7827;-0.0281
PRF;0.5;0.2;40pos;48;2;0.9551;0.8936;-0.0615
PRF;0.5;0.2;40pos;64;1;0.9900;0.9900;+0.0000
PRF;0.5;0.2;40pos;8;5;0.2696;0.2767;+0.0072
PRF;0.5;0.2;60pos;12;5;0.4913;0.4594;-0.0318
PRF;0.5;0.2;60pos;24;5;0.4751;0.4698;-0.0052
PRF;0.5;0.2;60pos;36;5;0.5426;0.5418;-0.0008
PRF;0.5;0.2;60pos;48;4;0.9602;0.9435;-0.0167
PRF;0.5;0.2;60pos;72;3;0.8672;0.7803;-0.0869
PRF;0.5;0.2;60pos;96;2;0.9850;0.9705;-0.0145
PRF;0.75;0.0;1;10;5;0.9606;0.9067;-0.0539
PRF;0.75;0.0;1;20;5;0.9881;0.9881;+0.0000
PRF;0.75;0.0;1;30;5;0.9841;0.9743;-0.0099
PRF;0.75;0.0;1;40;5;0.9940;0.9940;+0.0000
PRF;0.75;0.0;1;60;5;0.9980;0.9980;+0.0000
PRF;0.75;0.0;1;80;5;1.0000;1.0000;+0.0000
PRF;0.75;0.0;40pos;16;5;0.9625;0.8941;-0.0684
